,"It [183, 2]"
1149,-79.52315
1150,-88.890915
1151,-72.18953
1152,-81.16739
1153,-71.77441
1154,-93.21765
1155,-68.762726
1156,-72.77958
1157,-78.88845
1158,-69.86941
1159,-90.91786
1160,-65.23062
1161,-52.16299
1162,-87.26576
1163,92.760254
1164,-31.242691
1165,-71.56932
1166,-51.755814
1167,89.939476
1168,99.5451
1169,94.836205
1170,-74.72951
1171,-25.344727
1172,92.44369
1173,0.49004364
1174,-78.62621
1175,-54.058434
1176,-40.874584
1177,98.69757
1178,-36.86497
1179,-68.54288
1180,-93.52422
1181,90.10435
1182,89.80392
1183,-75.017624
1184,106.39706
1185,98.63083
1186,109.322914
1187,82.23345
1188,93.6339
1189,81.4154
1190,92.596695
1191,88.70451
1192,88.17329
1193,96.58167
1194,96.53304
1195,-81.06724
1196,88.677765
1197,-91.502914
1198,94.56954
1199,95.97846
1200,95.74538
1201,108.57222
1202,91.55582
1203,85.38148
1204,84.57036
1205,92.76861
1206,44.357582
1207,76.01975
1208,86.355705
1209,82.05644
1210,104.44897
1211,108.1507
1212,88.90479
1213,-107.01606
1214,90.73717
1215,99.93385
1216,96.62117
1217,-62.873707
1218,95.60215
1219,105.09776
1220,120.0532
1221,-88.35903
1222,109.19571
1223,-60.116585
1224,-19.517204
1225,103.924324
1226,85.92098
1227,-83.110855
1228,96.8237
1229,99.25346
1230,90.27382
1231,99.08492
1232,95.208466
1233,100.02647
1234,-53.919174
1235,-30.305603
1236,-67.14816
1237,-53.6063
1238,81.360825
1239,86.09195
1240,97.13382
1241,95.043655
1242,-36.13128
1243,74.196815
1244,86.497086
1245,-9.849335
1246,-123.411
1247,-66.96719
1248,-95.79683
1249,-90.463104
1250,-45.746353
1251,-83.93606
1252,-60.468525
1253,-97.2791
1254,-27.356056
1255,-99.31023
1256,-94.549545
1257,-94.82334
1258,-91.57524
1259,-90.09148
1260,109.15995
1261,-63.61094
1262,-97.511765
1263,-90.95436
1264,-79.71408
1265,-88.24781
1266,-93.37705
1267,-87.71432
1268,-90.82415
1269,-125.440575
1270,-89.58426
1271,-127.467766
1272,-68.48482
1273,-84.47248
1274,-85.41391
1275,-72.428024
1276,-76.97411
1277,-60.452488
1278,-44.271534
1279,95.1483
1280,-92.38396
1281,101.411255
1282,109.158714
1283,96.02339
1284,98.36446
1285,98.2182
1286,105.18925
1287,101.897514
1288,-89.97016
1289,100.16963
1290,-72.36641
1291,94.31431
1292,89.757904
1293,86.299194
1294,91.40586
1295,89.01208
1296,86.50791
1297,95.84655
1298,101.83139
1299,97.95635
