,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9,It 10,It 11,It 12,It 13,It 14,It 15,It 16,It 17,It 18,It 19,It 20,It 21,It 22,It 23,It 24,It 25,It 26,It 27,It 28,It 29
48,288.3898875,313.2228966,308.629978,306.9335765,316.1064989,78.05520387,311.2990013,310.7556745,123.9598617,305.18137,288.3898875,313.2228966,308.629978,306.9335765,316.1064989,78.05520387,311.2990013,310.7556745,123.9598617,305.18137,307.1660722,315.7903131,298.0769508,291.0065021,313.5160981,123.9360116,304.5308767,-88.29019427,317.0915311,317.046696
49,290.6674936,313.9625185,308.4784827,308.166706,314.763792,31.75063383,313.3493055,311.9382365,-90.39276531,303.4893496,290.6674936,313.9625185,308.4784827,308.166706,314.763792,31.75063383,313.3493055,311.9382365,-90.39276531,303.4893496,304.1246279,316.1152698,298.0342362,288.1061843,313.9566575,6.722838788,305.2873476,-25.36647676,316.2261773,316.937909
50,283.8864552,315.4824144,309.0766362,306.5517787,316.3240413,37.6941918,312.1584935,312.6472744,172.7566298,303.3580957,283.8864552,315.4824144,309.0766362,306.5517787,316.3240413,37.6941918,312.1584935,312.6472744,172.7566298,303.3580957,306.6556968,316.1482795,298.5139011,292.7917308,313.6338538,26.22343432,304.6337336,-78.58531767,316.3299537,317.3984854
51,294.0713032,316.0357502,308.0641485,307.7044102,316.8158078,26.14618949,311.0367139,312.4652462,298.9955157,305.2557535,294.0713032,316.0357502,308.0641485,307.7044102,316.8158078,26.14618949,311.0367139,312.4652462,298.9955157,305.2557535,303.7733647,316.6854696,296.9153494,293.9188242,313.458666,6.288953125,305.0467558,313.822519,315.6471469,317.4496845
52,288.5629998,313.798976,309.355809,-26.62718012,315.5686078,-5.53638194,312.639697,312.0849456,301.5478724,305.6777207,288.5629998,313.798976,309.355809,-26.62718012,315.5686078,-5.53638194,312.639697,312.0849456,301.5478724,305.6777207,305.252971,317.739477,297.3219682,295.4696858,313.8634101,-22.30162943,305.0449499,313.8780994,316.7609219,316.8140726
53,289.9343933,316.7586132,308.7693263,308.9338443,314.2861639,109.3570844,312.7208419,311.84632,75.73029241,305.2728693,289.9343933,316.7586132,308.7693263,308.9338443,314.2861639,109.3570844,312.7208419,311.84632,75.73029241,305.2728693,304.053935,317.2294913,295.9147043,133.6409,314.1438645,120.2373244,302.9647924,-48.848825,316.9738356,317.1066735
54,289.0209977,314.4820053,307.8718127,305.5509992,315.7138511,60.08438827,311.5363058,311.757047,299.4857562,303.5259009,289.0209977,314.4820053,307.8718127,305.5509992,315.7138511,60.08438827,311.5363058,311.757047,299.4857562,303.5259009,305.2822494,314.9522522,296.9682976,290.2647795,313.6936475,-1.960266649,305.3311011,314.4241574,316.8745074,317.1674858
55,296.2726543,316.1354836,309.1409698,307.902483,315.2593773,-28.33623651,311.4138175,312.0843988,301.2460752,304.5283344,296.2726543,316.1354836,309.1409698,307.902483,315.2593773,-28.33623651,311.4138175,312.0843988,301.2460752,304.5283344,302.6595935,316.5045601,297.272366,295.4215953,312.6360635,-19.77344339,305.7061325,314.4817993,315.4627294,317.6970741
56,291.2808453,315.0012686,309.0970488,306.9536713,314.725748,49.3036039,311.3470276,312.4248127,299.6564893,304.183716,291.2808453,315.0012686,309.0970488,306.9536713,314.725748,49.3036039,311.3470276,312.4248127,299.6564893,304.183716,307.1707126,315.1800686,298.4200897,289.3288704,314.0019242,-11.14216449,304.5221497,313.9308341,315.220011,318.2042949
57,289.4896788,314.4762153,308.2538797,306.4678814,315.4829648,65.51146425,312.3512807,310.78062,118.6086983,303.8902302,289.4896788,314.4762153,308.2538797,306.4678814,315.4829648,65.51146425,312.3512807,310.78062,118.6086983,303.8902302,307.0972147,315.30305,295.8474553,-9.754689646,313.9952209,89.81394738,305.2179505,313.3575376,316.2886357,318.4701087
58,289.3968674,315.9159555,308.7717985,308.0347292,316.2569226,-21.50032711,311.8819418,312.1190467,300.5215432,304.3353313,289.3968674,315.9159555,308.7717985,308.0347292,316.2569226,-21.50032711,311.8819418,312.1190467,300.5215432,304.3353313,305.9581238,315.8864769,297.4685494,293.054973,313.7466214,-7.991594384,304.7104586,313.468814,315.927916,317.6003221
