,"It [141, 3]"
1285,30.056982
1286,24.73964
1287,-14.446097
1288,-107.16432
1289,-32.304863
1290,-107.35199
1291,-23.584164
1292,-19.304335
1293,-11.831814
1294,-21.417517
1295,-26.899342
1296,-25.970732
1297,-26.936405
1298,-24.102013
1299,-24.911333
1300,-33.35697
1301,-31.635105
1302,-30.74137
1303,-23.96591
1304,-25.639174
1305,-34.175407
1306,-31.412937
1307,-17.138447
1308,-114.356346
1309,13.497434
1310,23.268549
1311,9.998238
1312,-16.947956
1313,-19.115068
1314,-20.109955
1315,-3.403482
1316,-30.83595
1317,-87.59175
1318,47.407707
1319,-80.016716
1320,-111.05586
1321,51.21815
1322,-102.7323
1323,-106.99702
1324,-107.54627
1325,16.639402
1326,22.953026
1327,17.120127
1328,36.267017
1329,38.447968
1330,46.08601
1331,29.955208
1332,-113.18833
1333,13.537649
1334,27.172586
1335,32.986794
1336,41.877743
1337,47.36033
1338,44.84037
1339,37.04831
1340,40.536438
1341,42.26638
1342,-91.702515
1343,2.9611747
1344,-17.791443
1345,-112.25164
1346,-23.584578
1347,-115.32495
1348,-3.4098241
1349,20.142744
1350,-16.737904
1351,-14.018754
1352,-14.758936
1353,2.222459
1354,-111.09221
1355,-104.95871
1356,6.4446774
1357,-108.60854
1358,-116.66413
1359,17.087507
1360,36.26338
1361,24.295294
1362,-102.362625
1363,-112.26554
1364,-119.12718
1365,-102.91179
1366,-93.14833
1367,-70.385025
1368,26.071367
1369,28.894215
1370,-117.45665
1371,-111.1789
1372,-104.31862
1373,-85.29255
1374,-111.81503
1375,-93.49259
1376,-85.092995
1377,-101.557144
1378,-84.06903
1379,-62.224674
1380,-79.01978
1381,-87.03026
1382,-70.22421
1383,60.18137
1384,63.984573
1385,47.189102
1386,35.11861
1387,11.316071
1388,15.0750885
1389,43.060772
1390,32.64567
1391,26.663286
1392,23.530458
1393,34.111134
1394,29.931738
1395,-104.24134
1396,-102.06824
1397,-99.7248
1398,-103.006165
1399,-100.68081
1400,-81.45293
1401,-95.83789
1402,-90.769585
1403,-89.2563
1404,-81.6794
1405,-93.02785
1406,-86.69644
1407,-100.51816
1408,-93.20716
1409,-104.80861
1410,-104.62084
1411,-104.43692
1412,-100.040764
1413,-102.52749
1414,-93.15237
1415,-67.06378
1416,-17.902706
1417,30.284054
1418,38.993187
1419,-87.97232
1420,-102.40354
1421,-105.23288
1422,-102.44499
1423,-103.49201
1424,-100.710625
1425,35.850765
