,It 0,It 1,It 2,It 3,It 4,It 5,It 6,It 7,It 8,It 9
106,-121.36841,-109.67691,-111.92137,-15.172309,-104.74765,-97.405266,-15.933775,-10.493851,-25.567154,-97.373726
107,-19.160004,-14.43186,-96.24401,-98.55925,-20.594807,-100.23362,-97.70006,-13.248652,-114.805145,-12.453453
108,-14.078659,-115.95675,-97.00721,-111.98823,-115.622635,-9.949508,-100.69305,-99.994194,-96.6987,-108.28722
109,-11.2427025,-108.16185,-111.806656,-99.77036,-97.76085,-94.91422,-11.151559,-9.605532,-96.267815,-102.78066
110,-101.657814,-20.084976,-104.34306,-98.44326,-98.20922,-18.53527,-114.15393,-14.538114,-20.663713,-110.41385
111,-8.068068,-12.860408,-112.53321,-113.542404,-115.86614,-12.320662,-99.53739,-96.56536,-13.799029,-103.61568
112,-93.39714,-110.36521,-98.286865,-119.146225,-107.574554,-99.5548,-12.424019,-100.92945,-126.31965,-101.080086
113,-101.00861,-99.26291,-97.6369,-100.97372,-112.31853,-22.114784,-115.37274,-21.072983,-99.207306,-9.013276
114,-98.367615,-98.11762,-13.219869,-10.177126,-22.300064,-16.86835,-17.506823,-111.49303,-96.76216,-13.311318
115,-103.2047,-19.469116,-110.65111,-115.32587,-15.333321,-98.455345,-20.626186,-97.78924,-98.082344,-10.661325
116,-99.21603,-96.172356,-21.94154,-101.39932,-115.34416,-114.7808,-16.805885,-112.59015,-118.96717,-14.505025
117,-19.520868,-12.830022,-99.198616,-115.347084,-97.6624,-99.4069,-103.86174,-19.33463,-114.55368,-99.62484
118,-108.59393,-16.496273,-13.870921,-96.85176,-104.28753,-100.69748,-17.5958,-10.555259,-100.391594,-24.31498
119,-98.55897,-13.46245,-98.45951,-108.89331,-119.408455,-94.25387,-112.8932,-99.52153,-15.869639,-101.11777
120,-11.226198,-97.04508,-10.667918,-111.546295,-99.198715,-115.144684,-18.364662,-110.13701,-17.25162,-95.848946
121,-99.93884,-100.15844,-15.472025,-112.02909,-101.08313,-7.9991107,-99.17393,-114.331116,-114.12644,-121.362366
122,-98.52696,-16.82245,-20.840542,-16.177519,-98.38648,-13.338332,-9.836203,-109.45136,-97.80834,-103.46286
123,-96.641884,-100.80374,-100.3802,-96.96647,-25.0295,-9.921848,-104.00553,-95.538536,-122.25431,-17.538591
124,-19.069498,-100.59065,-21.503729,-105.553375,-105.16073,-19.594282,-12.321108,-101.63829,-101.00392,-96.65614
125,-14.349537,-113.804474,-19.337242,-95.869576,-122.162315,-11.186704,-119.10275,-12.628708,-114.873924,-107.243965
126,-100.77375,-103.80153,-99.4815,-113.28505,-116.37628,-115.43769,-22.370483,-12.439818,-120.025734,-97.214355
127,-107.77893,-19.48042,-110.94025,-111.04554,-100.03706,-113.52333,-119.71325,-11.058521,-19.397877,-101.37522
128,-20.962124,-111.94129,-8.195391,-105.45142,-98.90758,-114.452576,-95.55209,-11.443642,-109.034775,-99.636856
129,-100.08658,-98.47136,-100.78326,-113.97164,-115.36053,-96.72178,-127.061226,-20.138952,-21.637049,-98.04938
130,-97.44349,-9.282492,-118.150314,-15.836671,-112.91603,-97.50018,-98.44783,-113.61191,-100.63826,-14.07264
131,-16.374434,-108.57986,-101.11132,-102.080956,-13.870659,-96.31055,-21.01677,-14.479425,-16.984632,-111.04012
132,-99.940025,-12.760253,-9.950568,-9.86939,-96.74748,-13.225539,-99.58381,-9.441138,-13.920803,-14.721808
133,-97.89509,-109.971886,-13.39673,-110.736694,-99.43299,-100.610435,-97.2287,-99.30916,-114.63303,-113.28578
134,-100.47961,-114.13063,-16.368996,-97.53589,-112.512054,-12.963258,-11.3604765,-13.519209,-100.23737,-99.36995
135,-111.00628,-17.392962,-114.339134,-18.553999,-99.83485,-96.314575,-111.10334,-112.11029,-115.93753,-116.34749
136,-101.007454,-98.052475,-99.5411,-97.543625,-117.08281,-10.311392,-115.02545,-16.599684,-5.5344124,-14.1092005
